lr=0.001,epochs=50,wd=0.0005
Epoch:0,Train_loss:0.020516036732054203,Val_loss:0.019683521475436977,Acc:0.6569057106971741,lr:0.001
Epoch:1,Train_loss:0.018703131108196176,Val_loss:0.018142356555123897,Acc:0.7037037014961243,lr:0.0009990143508499217
Epoch:2,Train_loss:0.017734629390717172,Val_loss:0.017414101894113666,Acc:0.7178434729576111,lr:0.0009960612933065818
Epoch:3,Train_loss:0.016931006104811023,Val_loss:0.01652533639425606,Acc:0.7411056756973267,lr:0.00099115248173898
Epoch:4,Train_loss:0.01638239403561093,Val_loss:0.01587607809562488,Acc:0.7543331980705261,lr:0.0009843072889837512
Epoch:5,Train_loss:0.015971620793806925,Val_loss:0.015301976757335784,Acc:0.7680168151855469,lr:0.0009755527298894294
Epoch:6,Train_loss:0.01564948687880184,Val_loss:0.015024901262884308,Acc:0.7740375995635986,lr:0.0009649233547011816
Epoch:7,Train_loss:0.015345292628190241,Val_loss:0.0146193018951483,Acc:0.7827951312065125,lr:0.0009524611127067769
Epoch:8,Train_loss:0.015084321718519375,Val_loss:0.014736259883227867,Acc:0.780332088470459,lr:0.0009382151866819099
Epoch:9,Train_loss:0.01487117661985341,Val_loss:0.014739289882517582,Acc:0.7825214862823486,lr:0.0009222417987882566
Epoch:10,Train_loss:0.014584732913632135,Val_loss:0.014514412703065624,Acc:0.7859879732131958,lr:0.0009046039886902864
Epoch:11,Train_loss:0.01435086584367167,Val_loss:0.013753939506303348,Acc:0.8015873432159424,lr:0.0008853713647665069
Epoch:12,Train_loss:0.01417008828937144,Val_loss:0.013835014694854087,Acc:0.8001277446746826,lr:0.0008646198293969952
Epoch:13,Train_loss:0.01405563917974394,Val_loss:0.014240021801923578,Acc:0.7892720699310303,lr:0.0008424312794113801
Epoch:14,Train_loss:0.013918602871793579,Val_loss:0.014791005436324917,Acc:0.7856230735778809,lr:0.0008188932828794706
Epoch:15,Train_loss:0.013791972125949343,Val_loss:0.013493750273605002,Acc:0.8098887205123901,lr:0.0007940987335200906
