lr=0.1,epochs=200,wd=0.0005
Epoch:0,Train_loss:0.013289612452983856,Val_loss:0.011492761671543122,Acc:0.3172000050544739,lr:0.1
Epoch:1,Train_loss:0.011912068235874176,Val_loss:0.01016588922739029,Acc:0.4068000018596649,lr:0.0999938316857668
Epoch:2,Train_loss:0.010636364197731018,Val_loss:0.009114613997936248,Acc:0.47519999742507935,lr:0.09997532826500641
Epoch:3,Train_loss:0.009547777116298676,Val_loss:0.00916061600446701,Acc:0.5155999660491943,lr:0.09994449430316103
Epoch:4,Train_loss:0.008748043112754822,Val_loss:0.0070079744696617124,Acc:0.6111999750137329,lr:0.09990133740804938
Epoch:5,Train_loss:0.008183445284366608,Val_loss:0.006806122249364853,Acc:0.6313999891281128,lr:0.09984586822798955
Epoch:6,Train_loss:0.007760997273921966,Val_loss:0.007607648658752441,Acc:0.6114000082015991,lr:0.09977810044917171
Epoch:7,Train_loss:0.007481080989837646,Val_loss:0.006778695112466812,Acc:0.6326000094413757,lr:0.09969805079228128
Epoch:8,Train_loss:0.007251877571344376,Val_loss:0.007376367402076721,Acc:0.6150999665260315,lr:0.09960573900837326
Epoch:9,Train_loss:0.007100272839069366,Val_loss:0.005740630060434342,Acc:0.6820999979972839,lr:0.09950118787399903
Epoch:10,Train_loss:0.006955193687677383,Val_loss:0.006969016975164413,Acc:0.6592000126838684,lr:0.0993844231855866
Epoch:11,Train_loss:0.006821404370069504,Val_loss:0.006140607416629792,Acc:0.6811000108718872,lr:0.09925547375307563
Epoch:12,Train_loss:0.006701502232551575,Val_loss:0.006803174948692322,Acc:0.6394999623298645,lr:0.09911437139280908
Epoch:13,Train_loss:0.006658452146053314,Val_loss:0.006455955874919891,Acc:0.6639999747276306,lr:0.09896115091968298
Epoch:14,Train_loss:0.006538985307216644,Val_loss:0.006336175864934921,Acc:0.661300003528595,lr:0.09879585013855641
Epoch:15,Train_loss:0.006420181738138199,Val_loss:0.0068159741878509525,Acc:0.6559999585151672,lr:0.09861850983492364
Epoch:16,Train_loss:0.006453083894252777,Val_loss:0.004825917422771454,Acc:0.7378999590873718,lr:0.098429173764851
Epoch:17,Train_loss:0.006346251013278961,Val_loss:0.007672171777486801,Acc:0.6316999793052673,lr:0.0982278886441807
Epoch:18,Train_loss:0.006269786788225174,Val_loss:0.004845431697368622,Acc:0.7300999760627747,lr:0.09801470413700433
