lr=0.03,epochs=120,wd=0.0005
Epoch:0,Train_loss:0.021154871401786804,Val_loss:0.016131247079372406,Acc:0.3944000005722046,lr:0.03
Epoch:1,Train_loss:0.01832189471244812,Val_loss:0.014604271793365478,Acc:0.462799996137619,lr:0.029994860045970868
Epoch:2,Train_loss:0.016585417425632475,Val_loss:0.0134926731467247,Acc:0.5178999900817871,lr:0.02997944370655123
Epoch:3,Train_loss:0.015175056989192963,Val_loss:0.011880241858959199,Acc:0.5673999786376953,lr:0.029953761547330055
Epoch:4,Train_loss:0.013986368539333344,Val_loss:0.009815281581878662,Acc:0.6502000093460083,lr:0.029917831169576414
Epoch:5,Train_loss:0.013058242352008819,Val_loss:0.010133729511499405,Acc:0.6498000025749207,lr:0.02987167719817647
Epoch:6,Train_loss:0.012318293011188508,Val_loss:0.008388328361511231,Acc:0.7091000080108643,lr:0.02981533126475677
Epoch:7,Train_loss:0.011759771075248717,Val_loss:0.008005543693900108,Acc:0.7163000106811523,lr:0.029748831986005538
Epoch:8,Train_loss:0.01136801945567131,Val_loss:0.007926913261413574,Acc:0.7210999727249146,lr:0.029672224937206716
Epoch:9,Train_loss:0.010950743074417114,Val_loss:0.007109052520990372,Acc:0.7508999705314636,lr:0.029585562621004945
Epoch:10,Train_loss:0.010527455483675003,Val_loss:0.006783573117852211,Acc:0.7616999745368958,lr:0.029488904431422873
Epoch:11,Train_loss:0.010321538614034653,Val_loss:0.0066703272432088855,Acc:0.7730000019073486,lr:0.029382316613155456
Epoch:12,Train_loss:0.010102139449119567,Val_loss:0.0064856863260269165,Acc:0.7777000069618225,lr:0.02926587221616915
Epoch:13,Train_loss:0.010000663036108018,Val_loss:0.006186011147499084,Acc:0.7824999690055847,lr:0.029139651045637125
Epoch:14,Train_loss:0.00971394583106041,Val_loss:0.006445091158151626,Acc:0.7825999855995178,lr:0.02900373960724477
Epoch:15,Train_loss:0.009628081576824188,Val_loss:0.005992886951565742,Acc:0.7942999601364136,lr:0.028858231047903037
Epoch:16,Train_loss:0.009392997280359269,Val_loss:0.006022935408353806,Acc:0.7890999913215637,lr:0.028703225091910183
Epoch:17,Train_loss:0.009362458196878433,Val_loss:0.006648300534486771,Acc:0.7687999606132507,lr:0.028538827972605728
Epoch:18,Train_loss:0.00922032821059227,Val_loss:0.005416835483908654,Acc:0.8120999932289124,lr:0.028365152359563415
Epoch:19,Train_loss:0.009009367520809174,Val_loss:0.005930917537212372,Acc:0.7906999588012695,lr:0.028182317281373142
Epoch:20,Train_loss:0.008994160265922547,Val_loss:0.005497454389929771,Acc:0.8127999901771545,lr:0.027990448044064684
Epoch:21,Train_loss:0.008918993508815766,Val_loss:0.005070245552062988,Acc:0.8234999775886536,lr:0.0277896761452292
Epoch:22,Train_loss:0.008816001735925675,Val_loss:0.0049820852994918825,Acc:0.8306999802589417,lr:0.027580139183897383
Epoch:23,Train_loss:0.00874275223851204,Val_loss:0.005521680960059166,Acc:0.807699978351593,lr:0.02736198076623592
Epoch:24,Train_loss:0.008659239233732224,Val_loss:0.005522950187325478,Acc:0.810699999332428,lr:0.027135350407127022
Epoch:25,Train_loss:0.00863503037571907,Val_loss:0.005157364696264267,Acc:0.827299952507019,lr:0.02690040342769838
Epoch:26,Train_loss:0.00856983177781105,Val_loss:0.005249592649936676,Acc:0.8174999952316284,lr:0.026657300848873834
Epoch:27,Train_loss:0.008533561182022096,Val_loss:0.004997294256091118,Acc:0.8233999609947205,lr:0.026406209281017664
Epoch:28,Train_loss:0.008503381814956665,Val_loss:0.005233948266506195,Acc:0.817799985408783,lr:0.026147300809748173
Epoch:29,Train_loss:0.008454880150556565,Val_loss:0.0052470290839672085,Acc:0.8151999711990356,lr:0.025880752877998806
Epoch:30,Train_loss:0.00836865615606308,Val_loss:0.004790212434530258,Acc:0.8337000012397766,lr:0.025606748164407618
Epoch:31,Train_loss:0.008282192791700364,Val_loss:0.005505297935009003,Acc:0.8057000041007996,lr:0.02532547445811846
Epoch:32,Train_loss:0.008210236582756042,Val_loss:0.005432094559073448,Acc:0.8141999840736389,lr:0.025037124530079693
Epoch:33,Train_loss:0.008207447764873504,Val_loss:0.005395812538266182,Acc:0.8197000026702881,lr:0.02474189600092859
Epoch:34,Train_loss:0.008133994938135146,Val_loss:0.005130543047189713,Acc:0.8245999813079834,lr:0.02443999120555204
Epoch:35,Train_loss:0.008102346303462982,Val_loss:0.004869585254788399,Acc:0.8341000080108643,lr:0.024131617054416306
Epoch:36,Train_loss:0.008148384844064712,Val_loss:0.005124984684586525,Acc:0.8294999599456787,lr:0.023816984891760953
Epoch:37,Train_loss:0.007990037746429443,Val_loss:0.004781766331195831,Acc:0.8330000042915344,lr:0.023496310350754033
Epoch:38,Train_loss:0.007961742391586304,Val_loss:0.004953199231624603,Acc:0.8300999999046326,lr:0.023169813205707903
Epoch:39,Train_loss:0.007846709934473037,Val_loss:0.004692147544026375,Acc:0.8374999761581421,lr:0.022837717221456878
Epoch:40,Train_loss:0.007905375274419785,Val_loss:0.005084704002737999,Acc:0.8270999789237976,lr:0.022500250000000003
Epoch:41,Train_loss:0.007794389971494674,Val_loss:0.00459411103874445,Acc:0.8446999788284302,lr:0.022157642824514
Epoch:42,Train_loss:0.007714827080368996,Val_loss:0.004690970169007778,Acc:0.8399999737739563,lr:0.021810130500843333
Epoch:43,Train_loss:0.007715761140584945,Val_loss:0.004619451829791069,Acc:0.8400999903678894,lr:0.021457951196576026
