lr=0.1,epochs=120,wd=0.0005
Epoch:0,Train_loss:0.014013397617340087,Val_loss:0.012481950199604035,Acc:0.2728999853134155,lr:0.1
Epoch:1,Train_loss:0.013094067778587341,Val_loss:0.012062011885643006,Acc:0.3116999864578247,lr:0.09998286642011538
Epoch:2,Train_loss:0.012413873038291931,Val_loss:0.011414720606803893,Acc:0.3190000057220459,lr:0.09993147742296132
Epoch:3,Train_loss:0.011928975105285644,Val_loss:0.010269550132751465,Acc:0.3935000002384186,lr:0.09984586822798955
Epoch:4,Train_loss:0.011355564243793487,Val_loss:0.01050162558555603,Acc:0.4052000045776367,lr:0.09972609750746599
Epoch:5,Train_loss:0.010668279583454131,Val_loss:0.009348408806324005,Acc:0.4649999737739563,lr:0.09957224734625984
Epoch:6,Train_loss:0.010228896684646606,Val_loss:0.008731647491455078,Acc:0.4885999858379364,lr:0.0993844231855866
Epoch:7,Train_loss:0.00980923048734665,Val_loss:0.010055176281929016,Acc:0.447299987077713,lr:0.09916275375074396
Epoch:8,Train_loss:0.009400293645858765,Val_loss:0.009272504019737244,Acc:0.5011000037193298,lr:0.09890739096288992
Epoch:9,Train_loss:0.009094896247386932,Val_loss:0.010979123413562775,Acc:0.41019999980926514,lr:0.09861850983492362
Epoch:10,Train_loss:0.008695718977451325,Val_loss:0.008175813007354737,Acc:0.5590000152587891,lr:0.09829630835154025
Epoch:11,Train_loss:0.008457919805049896,Val_loss:0.0072018555402755735,Acc:0.5863999724388123,lr:0.0979410073335422
Epoch:12,Train_loss:0.00816551350593567,Val_loss:0.007578016328811645,Acc:0.5785999894142151,lr:0.09755285028649952
Epoch:13,Train_loss:0.007891080310344696,Val_loss:0.006909653353691101,Acc:0.609499990940094,lr:0.09713210323386336
Epoch:14,Train_loss:0.007714769353866577,Val_loss:0.007430064076185227,Acc:0.5986999869346619,lr:0.09667905453464681
Epoch:15,Train_loss:0.007456509870290756,Val_loss:0.005960940933227539,Acc:0.6694999933242798,lr:0.09619401468579807
Epoch:16,Train_loss:0.007404375077486038,Val_loss:0.007436238843202591,Acc:0.604200005531311,lr:0.0956773161094012
Epoch:17,Train_loss:0.007266431826353073,Val_loss:0.006322819977998734,Acc:0.6636999845504761,lr:0.09512931292485084
Epoch:18,Train_loss:0.007055184262990952,Val_loss:0.007146469092369079,Acc:0.6491999626159668,lr:0.09455038070615628
Epoch:19,Train_loss:0.006886536746025086,Val_loss:0.004797980952262878,Acc:0.7425000071525574,lr:0.09394091622454191
Epoch:20,Train_loss:0.006774298076629639,Val_loss:0.006722359186410904,Acc:0.6567999720573425,lr:0.09330133717652002
Epoch:21,Train_loss:0.0066622319269180295,Val_loss:0.00934242600798607,Acc:0.5845000147819519,lr:0.0926320818976224
Epoch:22,Train_loss:0.0065345699119567875,Val_loss:0.004997874319553375,Acc:0.7348999977111816,lr:0.09193360906198719
