lr=0.1,epochs=120,wd=0.0005
Epoch:0,Train_loss:0.014262865190505982,Val_loss:0.016250121903419495,Acc:0.19979999959468842,lr:0.1
Epoch:1,Train_loss:0.01381308051109314,Val_loss:0.012649989819526673,Acc:0.210999995470047,lr:0.09998286642011538
Epoch:2,Train_loss:0.013430148968696595,Val_loss:0.012453102493286133,Acc:0.2198999971151352,lr:0.09993147742296132
Epoch:3,Train_loss:0.013161232318878174,Val_loss:0.013141922473907471,Acc:0.18609999120235443,lr:0.09984586822798955
Epoch:4,Train_loss:0.012984518203735352,Val_loss:0.01272501358985901,Acc:0.21480000019073486,lr:0.09972609750746599
Epoch:5,Train_loss:0.012865988764762878,Val_loss:0.012562454199790955,Acc:0.21369999647140503,lr:0.09957224734625984
Epoch:6,Train_loss:0.012731152675151824,Val_loss:0.012248675429821014,Acc:0.21319998800754547,lr:0.0993844231855866
Epoch:7,Train_loss:0.012444901158809661,Val_loss:0.011196270978450775,Acc:0.29089999198913574,lr:0.09916275375074396
Epoch:8,Train_loss:0.012128433055877685,Val_loss:0.011180582213401794,Acc:0.3026999831199646,lr:0.09890739096288992
Epoch:9,Train_loss:0.01198222897529602,Val_loss:0.011459976041316986,Acc:0.2921999990940094,lr:0.09861850983492362
Epoch:10,Train_loss:0.011801532933712005,Val_loss:0.010280192244052888,Acc:0.3675999939441681,lr:0.09829630835154025
Epoch:11,Train_loss:0.011571313695907593,Val_loss:0.011221122241020202,Acc:0.3139999806880951,lr:0.0979410073335422
Epoch:12,Train_loss:0.011390699272155762,Val_loss:0.0109533060669899,Acc:0.32760000228881836,lr:0.09755285028649952
Epoch:13,Train_loss:0.01117364734172821,Val_loss:0.011367353844642639,Acc:0.35599997639656067,lr:0.09713210323386336
Epoch:14,Train_loss:0.010935909917354584,Val_loss:0.014697250080108642,Acc:0.24459999799728394,lr:0.09667905453464681
Epoch:15,Train_loss:0.010705240194797516,Val_loss:0.009544774246215821,Acc:0.446399986743927,lr:0.09619401468579807
Epoch:16,Train_loss:0.010317101938724519,Val_loss:0.010507590293884277,Acc:0.38679999113082886,lr:0.0956773161094012
Epoch:17,Train_loss:0.009761614146232604,Val_loss:0.008727361285686493,Acc:0.4813999831676483,lr:0.09512931292485084
