lr=0.05,epochs=200,wd=0.0005
Epoch:0,Train_loss:0.026946324067115782,Val_loss:0.025013878536224367,Acc:0.08169999718666077,lr:0.05
Epoch:1,Train_loss:0.024382624735832213,Val_loss:0.02365476999282837,Acc:0.1160999983549118,lr:0.049996915873725276
Epoch:2,Train_loss:0.022818905243873595,Val_loss:0.02173907287120819,Acc:0.16409999132156372,lr:0.04998766425586311
Epoch:3,Train_loss:0.021502684183120728,Val_loss:0.020983384323120118,Acc:0.19009999930858612,lr:0.04997224742911178
Epoch:4,Train_loss:0.0205581130027771,Val_loss:0.02018800551891327,Acc:0.20809999108314514,lr:0.04995066919734258
Epoch:5,Train_loss:0.019600928864479065,Val_loss:0.018446210169792174,Acc:0.2622999846935272,lr:0.04992293488466134
Epoch:6,Train_loss:0.018808927936553956,Val_loss:0.017720489525794983,Acc:0.28189998865127563,lr:0.0498890513340947
Epoch:7,Train_loss:0.018123280124664305,Val_loss:0.017125387382507323,Acc:0.30550000071525574,lr:0.04984902690590177
Epoch:8,Train_loss:0.017420229096412658,Val_loss:0.01692016351222992,Acc:0.30709999799728394,lr:0.04980287147551129
Epoch:9,Train_loss:0.01680662950992584,Val_loss:0.0162255384683609,Acc:0.3303000032901764,lr:0.04975059643108507
Epoch:10,Train_loss:0.01622904420852661,Val_loss:0.01514083845615387,Acc:0.3718000054359436,lr:0.04969221467070814
Epoch:11,Train_loss:0.015698150305747987,Val_loss:0.015026904296875,Acc:0.36559998989105225,lr:0.049627740599206265
Epoch:12,Train_loss:0.015287313914299012,Val_loss:0.015435821008682252,Acc:0.3634999990463257,lr:0.04955719012459185
Epoch:13,Train_loss:0.014969373607635499,Val_loss:0.015144332242012023,Acc:0.36469998955726624,lr:0.04948058065413883
Epoch:14,Train_loss:0.014678595714569092,Val_loss:0.013957114696502685,Acc:0.40230000019073486,lr:0.049397931090087714
Epoch:15,Train_loss:0.01438506068944931,Val_loss:0.014278586101531982,Acc:0.3986999988555908,lr:0.049309261824981715
Epoch:16,Train_loss:0.014176796638965606,Val_loss:0.014584710276126862,Acc:0.3862999975681305,lr:0.04921459473663521
Epoch:17,Train_loss:0.013889478430747986,Val_loss:0.013684103274345398,Acc:0.4188999831676483,lr:0.049113953182735724
Epoch:18,Train_loss:0.013696764457225799,Val_loss:0.013159696197509766,Acc:0.4332999885082245,lr:0.04900736199508074
Epoch:19,Train_loss:0.013451534202098846,Val_loss:0.014262939834594727,Acc:0.4026999771595001,lr:0.04889484747345085
Epoch:20,Train_loss:0.013234402415752411,Val_loss:0.013089606094360351,Acc:0.4380999803543091,lr:0.04877643737912069
Epoch:21,Train_loss:0.01305943157196045,Val_loss:0.01250889298915863,Acc:0.46140000224113464,lr:0.04865216092800922
Epoch:22,Train_loss:0.012862081029415131,Val_loss:0.013668129467964172,Acc:0.42179998755455017,lr:0.04852204878347116
Epoch:23,Train_loss:0.01274753701210022,Val_loss:0.012281510961055755,Acc:0.46699997782707214,lr:0.048386133048731274
Epoch:24,Train_loss:0.012522893292903901,Val_loss:0.012464913296699524,Acc:0.4649999737739563,lr:0.04824444725896334
Epoch:25,Train_loss:0.012386922645568848,Val_loss:0.012339085531234742,Acc:0.45649999380111694,lr:0.04809702637301591
Epoch:26,Train_loss:0.012319576432704926,Val_loss:0.013160917413234711,Acc:0.44739997386932373,lr:0.04794390676478668
Epoch:27,Train_loss:0.012170852978229523,Val_loss:0.012076320695877074,Acc:0.47699999809265137,lr:0.047785126214247804
Epoch:28,Train_loss:0.012117362749576569,Val_loss:0.012680182290077209,Acc:0.46059998869895935,lr:0.047620723898124245
Epoch:29,Train_loss:0.01197135752439499,Val_loss:0.013664880871772766,Acc:0.43849998712539673,lr:0.0474507403802275
Epoch:30,Train_loss:0.011810913209915161,Val_loss:0.012673024594783783,Acc:0.4575999975204468,lr:0.047275217601447095
Epoch:31,Train_loss:0.011702104649543762,Val_loss:0.013510059094429016,Acc:0.4291999936103821,lr:0.04709419886940229
Epoch:32,Train_loss:0.01172013280391693,Val_loss:0.011647525918483734,Acc:0.49469998478889465,lr:0.046907728847756555
Epoch:33,Train_loss:0.011606019563674927,Val_loss:0.011844268929958343,Acc:0.4860000014305115,lr:0.046715853545197555
Epoch:34,Train_loss:0.01155692608833313,Val_loss:0.012199136483669281,Acc:0.4757999777793884,lr:0.04651862030408508
Epoch:35,Train_loss:0.011390069296360016,Val_loss:0.011858624958992004,Acc:0.48979997634887695,lr:0.04631607778877012
Epoch:36,Train_loss:0.011377442383766175,Val_loss:0.012243090856075287,Acc:0.4790000021457672,lr:0.04610827597358762
Epoch:37,Train_loss:0.011236875219345093,Val_loss:0.012090206706523896,Acc:0.47829997539520264,lr:0.045895266130526066
Epoch:38,Train_loss:0.011228882858753205,Val_loss:0.011447085499763488,Acc:0.5074999928474426,lr:0.045677100816576895
Epoch:39,Train_loss:0.011111012663841248,Val_loss:0.012542199838161468,Acc:0.47039997577667236,lr:0.04545383386076686
Epoch:40,Train_loss:0.011042418956756592,Val_loss:0.011222876572608948,Acc:0.5099999904632568,lr:0.045225520350876486
Epoch:41,Train_loss:0.010958625435829162,Val_loss:0.011124619758129119,Acc:0.5105000138282776,lr:0.044992216619848015
Epoch:42,Train_loss:0.010937357013225556,Val_loss:0.011466731512546539,Acc:0.5026999711990356,lr:0.04475398023188606
Epoch:43,Train_loss:0.010913937363624573,Val_loss:0.011780812537670136,Acc:0.4976999759674072,lr:0.04451086996825457
Epoch:44,Train_loss:0.010799388029575347,Val_loss:0.011932273948192596,Acc:0.48749998211860657,lr:0.04426294581277334
Epoch:45,Train_loss:0.010748896160125733,Val_loss:0.011273230302333832,Acc:0.5065999627113342,lr:0.044010268937017975
Epoch:46,Train_loss:0.010722977347373963,Val_loss:0.012202569496631623,Acc:0.4756999909877777,lr:0.04375290168522668
Epoch:47,Train_loss:0.01058755815267563,Val_loss:0.011571852362155915,Acc:0.498199999332428,lr:0.04349090755891775
Epoch:48,Train_loss:0.010491197209358216,Val_loss:0.011953278601169586,Acc:0.48749998211860657,lr:0.043224351201221575
Epoch:49,Train_loss:0.010456672813892365,Val_loss:0.011579262638092041,Acc:0.505899965763092,lr:0.042953298380930836
Epoch:50,Train_loss:0.010464963505268097,Val_loss:0.010946360802650452,Acc:0.521399974822998,lr:0.04267781597627309
Epoch:51,Train_loss:0.010351809446811676,Val_loss:0.011098168647289276,Acc:0.5246999859809875,lr:0.04239797195840955
Epoch:52,Train_loss:0.010289009811878204,Val_loss:0.01171260746717453,Acc:0.4957999885082245,lr:0.042113835374664246
Epoch:53,Train_loss:0.010177451910972595,Val_loss:0.011764778399467468,Acc:0.5027999877929688,lr:0.04182547633148757
Epoch:54,Train_loss:0.01093538646221161,Val_loss:0.011580604302883149,Acc:0.5060999989509583,lr:0.04153296597715862
Epoch:55,Train_loss:0.010304116418361663,Val_loss:0.011197300243377686,Acc:0.5087000131607056,lr:0.04123637648423042
Epoch:56,Train_loss:0.010200239324569703,Val_loss:0.010951407074928284,Acc:0.5187999606132507,lr:0.04093578103172236
Epoch:57,Train_loss:0.010055672960281372,Val_loss:0.011026118123531341,Acc:0.5175999999046326,lr:0.040631253787064454
Epoch:58,Train_loss:0.009960833458900451,Val_loss:0.012474966895580291,Acc:0.4818999767303467,lr:0.040322869887797576
Epoch:59,Train_loss:0.009864826323986053,Val_loss:0.010793503177165984,Acc:0.5234999656677246,lr:0.04001070542303443
Epoch:60,Train_loss:0.009884877059459686,Val_loss:0.01101433767080307,Acc:0.528499960899353,lr:0.03969483741468567
Epoch:61,Train_loss:0.009817456984519959,Val_loss:0.010720962822437287,Acc:0.5324999690055847,lr:0.039375343798455927
Epoch:62,Train_loss:0.009694269261360168,Val_loss:0.01043929659128189,Acc:0.5482000112533569,lr:0.039052303404614325
Epoch:63,Train_loss:0.009615351510047913,Val_loss:0.010881369626522064,Acc:0.5254999995231628,lr:0.03872579593854428
Epoch:64,Train_loss:0.009622939140796661,Val_loss:0.011230924713611604,Acc:0.5171999931335449,lr:0.0383959019610774
