lr=0.1,epochs=200,wd=0.0005
Epoch:0,Train_loss:0.015483853929042815,Val_loss:0.012778530466556548,Acc:0.2565000057220459,lr:0.1
Epoch:1,Train_loss:0.0121985786819458,Val_loss:0.01124521371126175,Acc:0.3547999858856201,lr:0.0999938316857668
Epoch:2,Train_loss:0.011310159235000611,Val_loss:0.010502639997005462,Acc:0.4052000045776367,lr:0.09997532826500641
Epoch:3,Train_loss:0.010572325308322906,Val_loss:0.0095930193901062,Acc:0.45579999685287476,lr:0.09994449430316103
Epoch:4,Train_loss:0.010100160150527953,Val_loss:0.008120699560642243,Acc:0.5281000137329102,lr:0.09990133740804938
Epoch:5,Train_loss:0.009716557741165161,Val_loss:0.007894777703285217,Acc:0.5494999885559082,lr:0.09984586822798955
Epoch:6,Train_loss:0.009442943487167359,Val_loss:0.008111155712604522,Acc:0.5397999882698059,lr:0.09977810044917171
Epoch:7,Train_loss:0.009167120134830474,Val_loss:0.007984724462032317,Acc:0.5396000146865845,lr:0.09969805079228128
Epoch:8,Train_loss:0.008960986306667328,Val_loss:0.00666647018790245,Acc:0.6172999739646912,lr:0.09960573900837326
Epoch:9,Train_loss:0.008787322325706481,Val_loss:0.006832612073421478,Acc:0.6144999861717224,lr:0.09950118787399903
Epoch:10,Train_loss:0.008511941039562225,Val_loss:0.006759938019514084,Acc:0.6139999628067017,lr:0.0993844231855866
Epoch:11,Train_loss:0.00833457364797592,Val_loss:0.0062695148229599,Acc:0.6499999761581421,lr:0.09925547375307563
Epoch:12,Train_loss:0.008225699629783631,Val_loss:0.005954541659355163,Acc:0.6656000018119812,lr:0.09911437139280908
Epoch:13,Train_loss:0.00813537122964859,Val_loss:0.006226736003160476,Acc:0.6500999927520752,lr:0.09896115091968298
Epoch:14,Train_loss:0.007943126657009124,Val_loss:0.006749067401885986,Acc:0.6280999779701233,lr:0.09879585013855641
Epoch:15,Train_loss:0.007825348944664001,Val_loss:0.006323682016134262,Acc:0.6548999547958374,lr:0.09861850983492364
Epoch:16,Train_loss:0.007716483010053635,Val_loss:0.006471428954601288,Acc:0.640999972820282,lr:0.098429173764851
Epoch:17,Train_loss:0.007658283903598785,Val_loss:0.0080020733833313,Acc:0.5724999904632568,lr:0.0982278886441807
Epoch:18,Train_loss:0.007563889375925064,Val_loss:0.005937613481283188,Acc:0.6739000082015991,lr:0.09801470413700433
Epoch:19,Train_loss:0.007489067802429199,Val_loss:0.006151034390926361,Acc:0.663599967956543,lr:0.09778967284340911
Epoch:20,Train_loss:0.007463574343919754,Val_loss:0.006367841333150864,Acc:0.6586999893188477,lr:0.09755285028649954
Epoch:21,Train_loss:0.007408830235004425,Val_loss:0.005500960904359817,Acc:0.6983000040054321,lr:0.09730429489869785
Epoch:22,Train_loss:0.007324229723215103,Val_loss:0.006883520835638046,Acc:0.6337999701499939,lr:0.0970440680073268
Epoch:23,Train_loss:0.007306945182085038,Val_loss:0.005939536333084107,Acc:0.6753999590873718,lr:0.09677223381947797
Epoch:24,Train_loss:0.0072938809633255,Val_loss:0.005698413217067718,Acc:0.6976999640464783,lr:0.09648885940616964
Epoch:25,Train_loss:0.007197998421192169,Val_loss:0.00560328249335289,Acc:0.6969999670982361,lr:0.0961940146857981
Epoch:26,Train_loss:0.007180501042604447,Val_loss:0.00613539462685585,Acc:0.6710000038146973,lr:0.09588777240688622
Epoch:27,Train_loss:0.007215712077617645,Val_loss:0.006786149084568024,Acc:0.6550999879837036,lr:0.09557020813013395
Epoch:28,Train_loss:0.007136620461940766,Val_loss:0.005646559119224548,Acc:0.6893999576568604,lr:0.09524140020977476
Epoch:29,Train_loss:0.007070027168989182,Val_loss:0.007089846348762512,Acc:0.6455000042915344,lr:0.09490142977424292
Epoch:30,Train_loss:0.007060127644538879,Val_loss:0.005920634186267853,Acc:0.6827999949455261,lr:0.09455038070615632
Epoch:31,Train_loss:0.006959439148902893,Val_loss:0.005572644060850143,Acc:0.6917999982833862,lr:0.09418833962161965
Epoch:32,Train_loss:0.006988339115381241,Val_loss:0.005523191750049591,Acc:0.701200008392334,lr:0.09381539584885316
Epoch:33,Train_loss:0.006909304189682007,Val_loss:0.005389626610279083,Acc:0.7114999890327454,lr:0.09343164140615236
Epoch:34,Train_loss:0.006836350396871567,Val_loss:0.006028535199165345,Acc:0.6588999629020691,lr:0.0930371709791837
Epoch:35,Train_loss:0.006829609847068787,Val_loss:0.005293531483411789,Acc:0.7152999639511108,lr:0.09263208189762245
Epoch:36,Train_loss:0.006889517415761948,Val_loss:0.006451264894008636,Acc:0.6697999835014343,lr:0.09221647411113802
Epoch:37,Train_loss:0.006812476173639298,Val_loss:0.005929880142211914,Acc:0.6815999746322632,lr:0.09179045016473285
